Artist,Museum,Gender,Ethnicity,Location,Year
Mason Williams,"Metropolitan Museum of Art, New York, NY",man,white,North America,1940.0
Samuel Williams,"Metropolitan Museum of Art, New York, NY",man,white,Europe,1790.0
Joos van Winghe,"Metropolitan Museum of Art, New York, NY",man,white,Europe,
J. L. Winn,"Metropolitan Museum of Art, New York, NY",man,white,Europe,
Ted Witonski,"Metropolitan Museum of Art, New York, NY",man,white,North America,1910.0
Ignacy Witz,"Metropolitan Museum of Art, New York, NY",,white,,1920.0
John Yang,"Metropolitan Museum of Art, New York, NY",man,asian,,1930.0
Chen Yanqing,"Metropolitan Museum of Art, New York, NY",man,asian,Asia and the Pacific,
Richard Yeo,"Metropolitan Museum of Art, New York, NY",man,,,
Charlotte Mary Yonge,"Metropolitan Museum of Art, New York, NY",woman,white,Europe,1820.0
F. York,"Metropolitan Museum of Art, New York, NY",man,white,Europe,
Franz von Hauslab the Younger,"Metropolitan Museum of Art, New York, NY",man,white,Europe,1800.0
Matthijs Bril the Younger,"Metropolitan Museum of Art, New York, NY",man,,Europe,
Mei Yufeng,"Metropolitan Museum of Art, New York, NY",,asian,Asia and the Pacific,
Kond? Yutaka,"Metropolitan Museum of Art, New York, NY",man,asian,Asia and the Pacific,1930.0
Arthur Zaidenberg,"Metropolitan Museum of Art, New York, NY",man,white,,1910.0
Yuan Zhi,"Metropolitan Museum of Art, New York, NY",man,asian,Asia and the Pacific,
Shi Zhong,"Metropolitan Museum of Art, New York, NY",man,asian,Asia and the Pacific,
Sheng Zhu,"Metropolitan Museum of Art, New York, NY",man,asian,Asia and the Pacific,
F Ziegler,"Metropolitan Museum of Art, New York, NY",man,white,,
Johann Ludwig Ziegler,"Metropolitan Museum of Art, New York, NY",man,white,Europe,1680.0
Zhou Zonglian,"Metropolitan Museum of Art, New York, NY",man,asian,Asia and the Pacific,
T?gen Zuisen,"Metropolitan Museum of Art, New York, NY",,asian,Asia and the Pacific,
Liu Zun,"Metropolitan Museum of Art, New York, NY",man,asian,Asia and the Pacific,
Kim Abeles,Museum of Contemporary Art,woman,white,North America,1950.0
Raimund Abraham,Museum of Contemporary Art,man,white,Europe,1930.0
Marina Abramovic,Museum of Contemporary Art,woman,white,Europe,1950.0
Amy Adler,Museum of Contemporary Art,woman,white,North America,1970.0
Eija-Liisa Ahtila,Museum of Contemporary Art,woman,white,,1960.0
Josef Albers,Museum of Contemporary Art,man,white,Europe,1890.0
Lita Albuquerque,Museum of Contemporary Art,woman,white,North America,1950.0
Lynn Aldrich,Museum of Contemporary Art,,white,North America,1940.0
Vikky Alexander,Museum of Contemporary Art,woman,white,North America,1960.0
Terry Allen,Museum of Contemporary Art,man,white,North America,1940.0
Herb Alpert,Museum of Contemporary Art,man,white,North America,1940.0
David Amico,Museum of Contemporary Art,man,white,North America,1950.0
Harold Ancart,Museum of Contemporary Art,man,white,Europe,1980.0
Kenneth Anger,Museum of Contemporary Art,,white,North America,1930.0
Karel Appel,Museum of Contemporary Art,man,white,Europe,1920.0
Kevin Appel,Museum of Contemporary Art,man,white,North America,1970.0
Shusaku Arakawa,Museum of Contemporary Art,man,asian,Asia and the Pacific,1940.0
Diane Arbus,Museum of Contemporary Art,woman,white,North America,1920.0
Robert Arneson,Museum of Contemporary Art,man,white,North America,1930.0
Hope Atherton,Museum of Contemporary Art,woman,white,North America,1970.0
Mowry Baden,Museum of Contemporary Art,man,white,North America,1940.0
Monika Baer,Museum of Contemporary Art,woman,white,Europe,1960.0
John Baldessari,Museum of Contemporary Art,man,white,North America,1930.0
Miroslaw Balka,Museum of Contemporary Art,man,white,Europe,1960.0
Stephan Balkenhol,Museum of Contemporary Art,man,white,Europe,1960.0
Rudolf Baranik,Museum of Contemporary Art,man,white,Europe,1920.0
Ana Barrado,Museum of Contemporary Art,woman,,North America,
Nancy Barton,Museum of Contemporary Art,,white,North America,1920.0
Adam Bartos,Museum of Contemporary Art,man,,North America,1950.0
Jean-Michel Basquiat,Museum of Contemporary Art,man,black,North America,1960.0
Bernd Becher,Museum of Contemporary Art,man,white,Europe,1930.0
Michael Becotte,Museum of Contemporary Art,man,white,North America,1940.0
Dirk Bell,Museum of Contemporary Art,man,white,Europe,1970.0
Billy Al Bengston,Museum of Contemporary Art,man,white,North America,1930.0
Hans Georg Berger,Museum of Contemporary Art,man,white,Europe,
Ellen Berkenblit,Museum of Contemporary Art,,white,North America,1960.0
Tony Berlant,Museum of Contemporary Art,man,white,North America,1940.0
Ashley Bickerton,Museum of Contemporary Art,,white,,1960.0
Richard Billingham,Museum of Contemporary Art,man,white,Europe,1970.0
Dike Blair,Museum of Contemporary Art,man,white,North America,1950.0
Jeremy Blake,Museum of Contemporary Art,man,white,North America,1970.0
Norman Bluhm,Museum of Contemporary Art,man,white,North America,1920.0
Chaz BojA3rquez,Museum of Contemporary Art,man,hispanic,,1950.0
Cosima von Bonin,Museum of Contemporary Art,woman,white,,1960.0
Jonathan Borofsky,Museum of Contemporary Art,man,white,North America,1940.0
Margaret Bourke-White,Museum of Contemporary Art,woman,white,North America,1900.0
Bill Brandt,Museum of Contemporary Art,man,white,Europe,1900.0
Stanley Brouwn,Museum of Contemporary Art,man,white,,1940.0
Joan Brown,Museum of Contemporary Art,woman,white,North America,1940.0
Ken Brown,Museum of Contemporary Art,man,white,North America,1940.0
Afrika (Sergei Bugaev),Museum of Contemporary Art,man,white,Europe,1970.0
Daniel Buren,Museum of Contemporary Art,man,white,Europe,1940.0
Victor Burgin,Museum of Contemporary Art,man,white,Europe,1940.0
Tom Burr,Museum of Contemporary Art,man,white,North America,1960.0
Jeff Burton,Museum of Contemporary Art,man,white,North America,1960.0
Richmond Burton,Museum of Contemporary Art,man,white,North America,1960.0
John Cage,Museum of Contemporary Art,man,white,North America,1910.0
Alexander Calder,Museum of Contemporary Art,man,white,North America,1900.0
Jo Ann Callis,Museum of Contemporary Art,woman,white,North America,
Paul Caponigro,Museum of Contemporary Art,man,white,North America,1930.0
Maurizio Cattelan,Museum of Contemporary Art,man,white,Europe,1960.0
Enrique Martinez Celaya,Museum of Contemporary Art,man,hispanic,Latin America and the Caribbean,1960.0
Vija Celmins,Museum of Contemporary Art,woman,white,Europe,1940.0
Max Cole,Museum of Contemporary Art,,white,North America,1940.0
Robert Colescott,Museum of Contemporary Art,man,,North America,1920.0
Colette,Museum of Contemporary Art,woman,white,,1950.0
Anne Collier,Museum of Contemporary Art,woman,white,North America,1970.0
Jeff Colson,Museum of Contemporary Art,man,white,North America,1960.0
Bruce Conner,Museum of Contemporary Art,man,white,North America,1930.0
Tony Conrad,Museum of Contemporary Art,man,white,North America,1940.0
Miles Coolidge,Museum of Contemporary Art,man,white,North America,1960.0
Dennis Cooper,Museum of Contemporary Art,man,white,North America,1950.0
Raul Cordero,Museum of Contemporary Art,man,hispanic,Latin America and the Caribbean,1970.0
Carlotta Corpron,Museum of Contemporary Art,,white,North America,
Mary Corse,Museum of Contemporary Art,woman,white,North America,1940.0
Meg Cranston,Museum of Contemporary Art,woman,white,North America,1960.0
Abraham Cruzvillegas,Museum of Contemporary Art,man,hispanic,Latin America and the Caribbean,1970.0
Robert Cumming,Museum of Contemporary Art,man,white,North America,1940.0
Darryl Curran,Museum of Contemporary Art,man,white,North America,1940.0
John Currin,Museum of Contemporary Art,man,white,North America,1960.0
Aaron Curry,Museum of Contemporary Art,man,white,North America,1970.0
Moyra Davey,Museum of Contemporary Art,woman,white,North America,1960.0
Gene Davis,Museum of Contemporary Art,man,white,North America,1920.0
Stephen Davis,Museum of Contemporary Art,man,white,North America,1940.0
Verne Dawson,Museum of Contemporary Art,man,,North America,1960.0
Richard Deacon,Museum of Contemporary Art,man,white,,1950.0
Joe Deal,Museum of Contemporary Art,man,white,North America,1950.0
Jay DeFeo,Museum of Contemporary Art,woman,white,North America,1930.0
Willem deKooning,Museum of Contemporary Art,man,white,Europe,1900.0
Thomas Demand,Museum of Contemporary Art,man,white,Europe,1960.0
Leslie Dick,Museum of Contemporary Art,,white,North America,1950.0
Richard Diebenkorn,Museum of Contemporary Art,man,,North America,1920.0
Guy Dill,Museum of Contemporary Art,man,white,North America,1950.0
Laddie John Dill,Museum of Contemporary Art,man,white,North America,1940.0
Paul Dillon,Museum of Contemporary Art,man,white,,
Harry Dodge,Museum of Contemporary Art,man,white,North America,1970.0
Peter Doig,Museum of Contemporary Art,man,white,Europe,1960.0
Trisha Donnelly,Museum of Contemporary Art,woman,white,North America,1970.0
Jim Drain,Museum of Contemporary Art,man,,North America,1980.0
Leonardo Drew,Museum of Contemporary Art,man,black,North America,1960.0
Vladimir Dubossarsky,Museum of Contemporary Art,man,white,Europe,1960.0
Jean Dubuffet,Museum of Contemporary Art,man,white,Europe,1900.0
John Duff,Museum of Contemporary Art,man,white,North America,1940.0
Marlene Dumas,Museum of Contemporary Art,woman,white,Africa,1950.0
Jeanne Dunning,Museum of Contemporary Art,woman,white,North America,1960.0
Sam Durant,Museum of Contemporary Art,man,white,North America,1960.0
Michael Dvortcsak,Museum of Contemporary Art,man,white,North America,1940.0
Mari Eastman,Museum of Contemporary Art,woman,white,North America,
Gregory Wiley Edwards,Museum of Contemporary Art,man,black,North America,1950.0
Nicole Eisenman,Museum of Contemporary Art,woman,white,,1960.0
Ger van Elk,Museum of Contemporary Art,man,white,Europe,1940.0
Victor Estrada,Museum of Contemporary Art,man,hispanic,North America,1960.0
Kirsten Everberg,Museum of Contemporary Art,,white,,1960.0
Sam Falls,Museum of Contemporary Art,man,white,North America,1980.0
Manny Farber,Museum of Contemporary Art,man,white,North America,1920.0
Tony Feher,Museum of Contemporary Art,man,white,North America,1960.0
Christina Fernandez,Museum of Contemporary Art,,hispanic,North America,1960.0
Tom of Finland,Museum of Contemporary Art,man,white,Europe,1920.0
Morgan Fisher,Museum of Contemporary Art,man,white,North America,1940.0
Judy Fiskin,Museum of Contemporary Art,woman,white,North America,1940.0
Robbert Flick,Museum of Contemporary Art,man,white,Europe,1940.0
Jose M. Fors,Museum of Contemporary Art,man,hispanic,Latin America and the Caribbean,1960.0
Will Fowler,Museum of Contemporary Art,man,,North America,1970.0
Andrea Fraser,Museum of Contemporary Art,woman,white,North America,1960.0
Viola Frey,Museum of Contemporary Art,woman,white,North America,1930.0
Ken Friedman,Museum of Contemporary Art,man,white,,1950.0
Tom Friedman,Museum of Contemporary Art,man,white,North America,1960.0
Barry Frydlender,Museum of Contemporary Art,man,,Europe,1950.0
Kenji Fujita,Museum of Contemporary Art,man,asian,North America,1960.0
Charles Gaines,Museum of Contemporary Art,man,,North America,1940.0
Ellen Gallagher,Museum of Contemporary Art,woman,white,North America,1960.0
Anna Gaskell,Museum of Contemporary Art,woman,white,North America,1970.0
Frank O. Gehry,Museum of Contemporary Art,man,white,North America,1930.0
Isa Genzken,Museum of Contemporary Art,woman,,Europe,1950.0
Gaylen Gerber,Museum of Contemporary Art,man,white,North America,1960.0
Frank Gohlke,Museum of Contemporary Art,man,white,North America,1940.0
Nan Goldin,Museum of Contemporary Art,woman,white,North America,1950.0
Michael Gonzalez,Museum of Contemporary Art,man,,,
Douglas Gordon,Museum of Contemporary Art,man,,Europe,1970.0
Arshile Gorky,Museum of Contemporary Art,man,white,,
Zbigniew Gostomski,Museum of Contemporary Art,man,white,Europe,1930.0
Dan Graham,Museum of Contemporary Art,man,white,North America,1940.0
Todd Gray,Museum of Contemporary Art,man,black,North America,1950.0
Hannah Greely,Museum of Contemporary Art,woman,white,North America,1980.0
RenACe Green,Museum of Contemporary Art,woman,,North America,1960.0
Matt Greene,Museum of Contemporary Art,man,white,North America,1970.0
Ron Griffin,Museum of Contemporary Art,man,white,North America,1950.0
Robert Grosvenor,Museum of Contemporary Art,man,white,North America,1940.0
George Grosz,Museum of Contemporary Art,man,white,Europe,1890.0
Cai Guo-Qiang,Museum of Contemporary Art,man,asian,Asia and the Pacific,1960.0
Shi Guorui,Museum of Contemporary Art,man,asian,Asia and the Pacific,1960.0
Hans Haacke,Museum of Contemporary Art,man,white,Europe,1940.0
Richard Haas,Museum of Contemporary Art,man,white,North America,1940.0
Karl Haendel,Museum of Contemporary Art,man,white,North America,1980.0
Marcia Hafif,Museum of Contemporary Art,woman,white,North America,1930.0
Jonathan Hammer,Museum of Contemporary Art,man,white,North America,1960.0
Kevin Hanley,Museum of Contemporary Art,man,,,
Svend Wiig Hansen,Museum of Contemporary Art,man,white,Europe,1920.0
Bendix Harms,Museum of Contemporary Art,man,white,Europe,1970.0
Susan Hartnett,Museum of Contemporary Art,woman,white,North America,1940.0
Mona Hatoum,Museum of Contemporary Art,woman,other,,1950.0
Eberhard Havekost,Museum of Contemporary Art,man,white,Europe,1970.0
Sharon Hayes,Museum of Contemporary Art,woman,white,North America,1970.0
James Hayward,Museum of Contemporary Art,man,white,North America,1940.0
Drew Heitzler,Museum of Contemporary Art,man,,North America,1970.0
Michael Heizer,Museum of Contemporary Art,man,white,North America,1940.0
Roger Herman,Museum of Contemporary Art,man,white,Europe,
Noritoshi Hirakawa,Museum of Contemporary Art,man,asian,Asia and the Pacific,1960.0
Thomas Hirschhorn,Museum of Contemporary Art,man,white,Europe,1960.0
Patrick Hogan,Museum of Contemporary Art,man,white,North America,1950.0
Tom Holland,Museum of Contemporary Art,man,white,North America,1940.0
Margaret Honda,Museum of Contemporary Art,,,North America,1960.0
Douglas Huebler,Museum of Contemporary Art,man,white,North America,1920.0
Pierre Huyghe,Museum of Contemporary Art,man,white,Europe,1960.0
David Ireland,Museum of Contemporary Art,man,white,North America,1930.0
Alfredo Jaar,Museum of Contemporary Art,man,hispanic,Latin America and the Caribbean,1960.0
Richard Jackson,Museum of Contemporary Art,man,,,1940.0
Adam Janes,Museum of Contemporary Art,man,white,North America,1980.0
Waclaw Janicki,Museum of Contemporary Art,man,white,Europe,1940.0
Christian Jankowski,Museum of Contemporary Art,man,white,,1970.0
Alfred Jensen,Museum of Contemporary Art,man,hispanic,Latin America and the Caribbean,1900.0
Sergej Jensen,Museum of Contemporary Art,man,white,Europe,1970.0
Jasper Johns,Museum of Contemporary Art,man,white,North America,1930.0
Larry Johnson,Museum of Contemporary Art,man,,,1960.0
Joan Jonas,Museum of Contemporary Art,,,North America,1940.0
Ben Jones,Museum of Contemporary Art,man,white,North America,1980.0
Donald Judd,Museum of Contemporary Art,man,white,North America,1930.0
Steve Kahn,Museum of Contemporary Art,man,white,North America,1940.0
Johannes Kahrs,Museum of Contemporary Art,man,white,Europe,1960.0
Jitish Kallat,Museum of Contemporary Art,man,asian,Asia and the Pacific,1970.0
Mitchell Kane,Museum of Contemporary Art,man,,,
Barbara Kasten,Museum of Contemporary Art,woman,white,North America,1940.0
Steve Keister,Museum of Contemporary Art,man,white,North America,1950.0
Corita Kent,Museum of Contemporary Art,woman,white,North America,1920.0
Jon Kessler,Museum of Contemporary Art,man,white,North America,1960.0
Toba Khedoori,Museum of Contemporary Art,woman,other,,1960.0
Per Kirkeby,Museum of Contemporary Art,man,white,Europe,1940.0
R.B. Kitaj,Museum of Contemporary Art,man,white,North America,1930.0
David Klamen,Museum of Contemporary Art,man,white,North America,1960.0
John Knight,Museum of Contemporary Art,man,,North America,1940.0
Terence Koh,Museum of Contemporary Art,man,asian,,1980.0
Barbara Kruger,Museum of Contemporary Art,woman,white,North America,1940.0
Makiko Kudo,Museum of Contemporary Art,woman,asian,Asia and the Pacific,1980.0
Friedrich Kunath,Museum of Contemporary Art,man,white,Europe,1970.0
Milan Kunc,Museum of Contemporary Art,man,white,Europe,1940.0
Yayoi Kusama,Museum of Contemporary Art,woman,asian,Asia and the Pacific,1930.0
Rachel Lachowicz,Museum of Contemporary Art,woman,white,North America,1960.0
David Lamelas,Museum of Contemporary Art,man,hispanic,Latin America and the Caribbean,1950.0
Liz Larner,Museum of Contemporary Art,woman,white,North America,1960.0
Elad Lassry,Museum of Contemporary Art,man,other,Europe,1980.0
Louise Lawler,Museum of Contemporary Art,,white,North America,1950.0
Deana Lawson,Museum of Contemporary Art,woman,black,North America,1980.0
William Leavitt,Museum of Contemporary Art,man,,North America,1940.0
Mark Leckey,Museum of Contemporary Art,man,white,Europe,1960.0
Judy Ledgerwood,Museum of Contemporary Art,woman,white,North America,1960.0
Barry Ledoux,Museum of Contemporary Art,man,white,North America,1950.0
Daniel Lefcourt,Museum of Contemporary Art,man,white,,1980.0
Zoe Leonard,Museum of Contemporary Art,,white,North America,1960.0
Helen Levitt,Museum of Contemporary Art,woman,white,North America,1910.0
Sol LeWitt,Museum of Contemporary Art,man,white,North America,1930.0
Jens Liebchen,Museum of Contemporary Art,,white,Europe,1970.0
Tom Lieber,Museum of Contemporary Art,man,white,North America,1950.0
Robert Lobe,Museum of Contemporary Art,man,white,North America,1940.0
Andrzej Lobodzinski,Museum of Contemporary Art,,,,1970.0
Sal Lopes,Museum of Contemporary Art,man,hispanic,North America,1940.0
Lee Lozano,Museum of Contemporary Art,woman,white,North America,1930.0
Martin Lubner,Museum of Contemporary Art,man,white,North America,1930.0
Michael Lucero,Museum of Contemporary Art,man,white,North America,1950.0
Nathan Lyons,Museum of Contemporary Art,man,white,North America,1930.0
Kim MacConnel,Museum of Contemporary Art,man,white,North America,1950.0
Kcho (Alexis Leyva Machado),Museum of Contemporary Art,man,hispanic,Latin America and the Caribbean,1970.0
Michel Majerus,Museum of Contemporary Art,man,white,Europe,1970.0
Joe Mama-Nitzberg,Museum of Contemporary Art,,,,
Esko Mannikko,Museum of Contemporary Art,man,white,Europe,1960.0
Robert Mapplethorpe,Museum of Contemporary Art,man,white,North America,1950.0
John Mason,Museum of Contemporary Art,man,white,North America,1930.0
T. Kelly Mason,Museum of Contemporary Art,,,North America,1960.0
Roberto Matta,Museum of Contemporary Art,man,hispanic,Latin America and the Caribbean,1910.0
Keith Mayerson,Museum of Contemporary Art,man,white,North America,1970.0
Elaine Mayes,Museum of Contemporary Art,woman,white,North America,1940.0
Michael Mazur,Museum of Contemporary Art,man,white,North America,1940.0
Rita McBride,Museum of Contemporary Art,woman,white,North America,1960.0
Michael McClard,Museum of Contemporary Art,,,,
Dan McCleary,Museum of Contemporary Art,man,,North America,1950.0
Rodney McMillian,Museum of Contemporary Art,man,,North America,1970.0
Hellen van Meene,Museum of Contemporary Art,woman,white,Europe,1970.0
Richard Meier,Museum of Contemporary Art,man,,North America,1930.0
Gustav Metzger,Museum of Contemporary Art,man,white,Europe,1930.0
John Miller,Museum of Contemporary Art,man,white,North America,1950.0
Wes Mills,Museum of Contemporary Art,man,white,North America,1960.0
Michael Minelli,Museum of Contemporary Art,man,white,North America,
Marilyn Minter,Museum of Contemporary Art,woman,white,North America,1950.0
Joan Miro,Museum of Contemporary Art,man,hispanic,Europe,1890.0
Tracey Moffatt,Museum of Contemporary Art,woman,,Asia and the Pacific,1960.0
Damian Moppett,Museum of Contemporary Art,man,,North America,1970.0
Moris,Museum of Contemporary Art,man,hispanic,Latin America and the Caribbean,
Richard Allen Morris,Museum of Contemporary Art,man,white,North America,1930.0
Ree Morton,Museum of Contemporary Art,,white,North America,1940.0
Victoria Morton,Museum of Contemporary Art,woman,white,Europe,1970.0
Ed Moses,Museum of Contemporary Art,man,white,North America,1930.0
Juan MuA?oz,Museum of Contemporary Art,man,hispanic,Europe,1950.0
Jan Mueller,Museum of Contemporary Art,man,white,Europe,1920.0
Lee Mullican,Museum of Contemporary Art,man,white,North America,1920.0
Matt Mullican,Museum of Contemporary Art,man,,North America,1950.0
Markus Muntean,Museum of Contemporary Art,man,white,Europe,1960.0
Wangechi Mutu,Museum of Contemporary Art,woman,black,Africa,1970.0
Yoshitomo Nara,Museum of Contemporary Art,,asian,Asia and the Pacific,1960.0
David Nash,Museum of Contemporary Art,man,white,Europe,1940.0
Shirin Neshat,Museum of Contemporary Art,woman,other,Asia and the Pacific,1960.0
Louise Nevelson,Museum of Contemporary Art,woman,white,Europe,1900.0
Barnett Newman,Museum of Contemporary Art,man,white,North America,1900.0
Jun Nguyen-Hatsushiba,Museum of Contemporary Art,man,asian,Asia and the Pacific,1970.0
Mark Niblock-Smith,Museum of Contemporary Art,man,white,North America,
Gronk (Glugio Nicandro),Museum of Contemporary Art,man,hispanic,North America,1950.0
Kelly Nipper,Museum of Contemporary Art,woman,white,North America,1970.0
Hermann Nitsch,Museum of Contemporary Art,man,white,Europe,1940.0
Paul Noble,Museum of Contemporary Art,man,white,Europe,1960.0
David Novros,Museum of Contemporary Art,man,white,North America,1940.0
Thomas Nozkowski,Museum of Contemporary Art,man,white,North America,1940.0
Michele O'Marah,Museum of Contemporary Art,woman,white,North America,1970.0
Daniel Oates,Museum of Contemporary Art,man,white,,1960.0
Nathan Oliveira,Museum of Contemporary Art,man,white,North America,1930.0
Margit Omar,Museum of Contemporary Art,woman,,,1940.0
Jeff Ono,Museum of Contemporary Art,man,asian,North America,1970.0
Yoko Ono,Museum of Contemporary Art,woman,asian,Asia and the Pacific,1930.0
Gabriel Orozco,Museum of Contemporary Art,man,hispanic,Latin America and the Caribbean,1960.0
Raphael Montanez Ortiz,Museum of Contemporary Art,man,,North America,1930.0
Kaz Oshiro,Museum of Contemporary Art,man,asian,Asia and the Pacific,1970.0
Carl Ostendarp,Museum of Contemporary Art,man,white,North America,1960.0
Robert Overby,Museum of Contemporary Art,man,white,North America,1940.0
Roxy Paine,Museum of Contemporary Art,man,white,North America,1970.0
Marc Pally,Museum of Contemporary Art,man,white,North America,1950.0
Eduardo Sir Paolozzi,Museum of Contemporary Art,man,white,Europe,1920.0
Jorge Pardo,Museum of Contemporary Art,man,hispanic,Latin America and the Caribbean,1960.0
Anthony Pearson,Museum of Contemporary Art,man,white,North America,1970.0
Hirsch Perlman,Museum of Contemporary Art,man,white,North America,1960.0
Manfred Pernice,Museum of Contemporary Art,man,white,Europe,1960.0
Philippe Perrot,Museum of Contemporary Art,man,white,,1970.0
RenACe Petropoulos,Museum of Contemporary Art,,white,North America,
Raymond Pettibon,Museum of Contemporary Art,man,white,North America,1960.0
Richard Pettibone,Museum of Contemporary Art,man,white,North America,1940.0
Elizabeth Peyton,Museum of Contemporary Art,woman,white,North America,1960.0
Vong Phaophanit,Museum of Contemporary Art,man,asian,Asia and the Pacific,1960.0
Jean St. Pierre,Museum of Contemporary Art,man,,North America,
Josephine Pryde,Museum of Contemporary Art,woman,white,Europe,1970.0
Ernesto Pujol,Museum of Contemporary Art,man,hispanic,Latin America and the Caribbean,1960.0
Arnulf Rainer,Museum of Contemporary Art,man,white,Europe,1930.0
Susan Rankaitis,Museum of Contemporary Art,woman,white,North America,1950.0
Max Regenberg,Museum of Contemporary Art,man,white,Europe,1950.0
Carl F. Reutersward,Museum of Contemporary Art,man,white,Europe,1930.0
Barbara Jo Revelle,Museum of Contemporary Art,woman,white,North America,
Stephen G. Rhodes,Museum of Contemporary Art,man,white,,1980.0
Gerhard Richter,Museum of Contemporary Art,man,white,Europe,1930.0
George Rickey,Museum of Contemporary Art,man,white,North America,1910.0
Larry Rivers,Museum of Contemporary Art,man,white,North America,1920.0
Adam Rolston,Museum of Contemporary Art,man,white,,1960.0
Kay Rosen,Museum of Contemporary Art,woman,white,North America,1940.0
Adam Ross,Museum of Contemporary Art,man,white,North America,
Mark Rothko,Museum of Contemporary Art,man,white,,1900.0
Nancy Rubins,Museum of Contemporary Art,woman,white,North America,1950.0
Sterling Ruby,Museum of Contemporary Art,man,white,,1970.0
AA?da Ruilova,Museum of Contemporary Art,woman,,North America,1970.0
Edward Ruscha,Museum of Contemporary Art,man,white,North America,1940.0
Betye Saar,Museum of Contemporary Art,woman,black,North America,1930.0
Lucas Samaras,Museum of Contemporary Art,man,white,Europe,1940.0
Dean Sameshima,Museum of Contemporary Art,man,asian,,1970.0
"Armando ""Mandoe"" Santiago",Museum of Contemporary Art,man,hispanic,North America,1970.0
Juliao Sarmento,Museum of Contemporary Art,man,,Europe,1950.0
Raymond Saunders,Museum of Contemporary Art,man,black,North America,1930.0
Kathleen Schimert,Museum of Contemporary Art,woman,white,North America,1960.0
Kim Schoenstadt,Museum of Contemporary Art,woman,white,North America,1970.0
Christian Schumann,Museum of Contemporary Art,man,white,North America,1970.0
Peter Schuyff,Museum of Contemporary Art,man,white,,
Ilene Segalove,Museum of Contemporary Art,woman,white,North America,1950.0
Beverly Semmes,Museum of Contemporary Art,,white,North America,1960.0
Joel Shapiro,Museum of Contemporary Art,man,white,North America,1940.0
Steven Shearer,Museum of Contemporary Art,man,white,North America,1970.0
Stephen Shore,Museum of Contemporary Art,man,white,North America,1950.0
Roman Signer,Museum of Contemporary Art,man,white,Europe,1940.0
Laurie Simmons,Museum of Contemporary Art,woman,white,North America,1950.0
Alexis Smith,Museum of Contemporary Art,woman,white,North America,
David Smith,Museum of Contemporary Art,man,white,North America,1910.0
Harry Smith,Museum of Contemporary Art,man,white,North America,1920.0
W. Eugene Smith,Museum of Contemporary Art,,white,North America,1920.0
Robert Smithson,Museum of Contemporary Art,man,white,North America,1940.0
Yutaka Sone,Museum of Contemporary Art,,asian,Asia and the Pacific,1960.0
Alan Sonfist,Museum of Contemporary Art,man,white,North America,1950.0
Frances Stark,Museum of Contemporary Art,woman,white,North America,1970.0
Laura Stein,Museum of Contemporary Art,woman,white,North America,
Robert Von Sternberg,Museum of Contemporary Art,man,white,North America,1940.0
Joel Sternfeld,Museum of Contemporary Art,man,white,North America,1940.0
Coleen Sterritt,Museum of Contemporary Art,woman,white,North America,1950.0
George Stoll,Museum of Contemporary Art,man,white,North America,
Paul Strand,Museum of Contemporary Art,man,white,North America,1890.0
Thaddeus Strode,Museum of Contemporary Art,man,white,North America,1960.0
Thomas Struth,Museum of Contemporary Art,man,white,Europe,1950.0
Jay Stuckey,Museum of Contemporary Art,man,white,North America,1970.0
Do Ho Suh,Museum of Contemporary Art,man,asian,Asia and the Pacific,1960.0
Alina Szapocznikow,Museum of Contemporary Art,woman,white,Europe,1930.0
Sarah Sze,Museum of Contemporary Art,woman,white,North America,1970.0
Aya Takano,Museum of Contemporary Art,,asian,Asia and the Pacific,1980.0
Atsuko Tanaka,Museum of Contemporary Art,,asian,Asia and the Pacific,1930.0
Edmund Teske,Museum of Contemporary Art,man,white,North America,1910.0
Robert Therrien,Museum of Contemporary Art,man,white,North America,1950.0
Lew Thomas,Museum of Contemporary Art,man,,North America,1930.0
Stanley Tigerman,Museum of Contemporary Art,man,white,North America,1930.0
Wolfgang Tillmans,Museum of Contemporary Art,man,white,Europe,1970.0
Rirkrit Tiravanija,Museum of Contemporary Art,man,hispanic,,1960.0
Lincoln Tobier,Museum of Contemporary Art,man,,North America,1960.0
Grazia Toderi,Museum of Contemporary Art,,white,Europe,1960.0
Fred Tomaselli,Museum of Contemporary Art,man,white,North America,1960.0
RubACn Ortiz Torres,Museum of Contemporary Art,man,hispanic,Latin America and the Caribbean,1960.0
Daryl Trivieri,Museum of Contemporary Art,man,white,North America,1960.0
Rosemarie Trockel,Museum of Contemporary Art,woman,white,Europe,1950.0
Danh VA?,Museum of Contemporary Art,man,asian,,1980.0
Jeffrey Vallance,Museum of Contemporary Art,man,white,North America,1960.0
Sara VanDerBeek,Museum of Contemporary Art,woman,white,North America,1980.0
Bernar Venet,Museum of Contemporary Art,man,white,Europe,1940.0
Jan Vercruysse,Museum of Contemporary Art,man,white,Europe,1950.0
Francesco Vezzoli,Museum of Contemporary Art,man,white,Europe,1970.0
Bill Viola,Museum of Contemporary Art,man,white,North America,1950.0
Robert Voit,Museum of Contemporary Art,man,white,Europe,1970.0
Catherine Wagner,Museum of Contemporary Art,woman,white,North America,1950.0
Ian Wallace,Museum of Contemporary Art,man,white,,1940.0
Suling Wang,Museum of Contemporary Art,woman,asian,Asia and the Pacific,1970.0
Andy Warhol,Museum of Contemporary Art,man,white,North America,1930.0
Timothy Washington,Museum of Contemporary Art,man,black,North America,1950.0
